name,category,latitude,longitude,cluster_label,is_hotspot
Nando's,restaurant,28.6309879,77.2197896,0,True
Federal Bank,bank,28.6319496,77.2217935,0,True
Select Hotel,hotel,28.6308041,77.2244524,0,True
Hotel Alka Annexe,hotel,28.6320913,77.2226246,0,True
State Bank of India,bank,28.6322316,77.2223143,0,True
Holiday Inn Hotels and Resorts,hotel,28.6312552,77.2209768,0,True
Amour Bistro,cafe,28.6016349,77.1859966,5,True
Hotel Lal's Haveli,hotel,28.64597,77.2112119,0,True
Surbhi hospital,other,28.6491348,77.2164415,0,True
Unknown,hotel,28.6490936,77.2170457,0,True
Hotel Grand Park Inn,hotel,28.646953,77.1958002,0,True
Hotel City Star,hotel,28.6447365,77.214923,0,True
The Colonnade,restaurant,28.6342635,77.2190699,0,True
Gola,restaurant,28.6352724,77.220127,0,True
R. S. Medicos,pharmacy,28.6467075,77.2129328,0,True
White House,hotel,28.6467605,77.2130323,0,True
Shell Deluxe,hotel,28.646794,77.2128902,0,True
Bhagwati Medicos,pharmacy,28.6467013,77.2132438,0,True
Unknown,pharmacy,28.6466897,77.2128151,0,True
Amax Inn,hotel,28.6467628,77.2135529,0,True
Hotel S&b East Inn,hotel,28.6444725,77.1763258,0,True
Fat Lulu's,restaurant,28.5996402,77.2262942,1,True
Bloomrooms,hotel,28.6455153,77.2177757,0,True
Unknown,bank,28.6294722,77.2129442,0,True
Unknown,bank,28.6321307,77.2163119,0,True
Bharat Petroleum,fuel,28.6288906,77.210219,0,True
Unknown,bank,28.6333793,77.2076665,0,True
Odeon sweets,restaurant,28.6334275,77.2080471,0,True
Imly,restaurant,28.645305,77.1785622,0,True
Hotel City Heights,hotel,28.6410598,77.2143437,0,True
Malhotra,restaurant,28.6410445,77.2105515,0,True
Sam's Cafe,restaurant,28.6410923,77.2126799,0,True
Starbucks,cafe,28.6302915,77.2204826,0,True
Festa Cafe ,cafe,28.6409134,77.2104527,0,True
Smyle Inn,hotel,28.6416911,77.2147016,0,True
Shangri-La's Eros Hotel,hotel,28.6210244,77.2178611,0,True
the spot,hotel,28.6417585,77.2152429,0,True
Kitchen Cafe Roof Top,cafe,28.6409875,77.2128901,0,True
Café office office,cafe,28.6269741,77.2202933,0,True
HOTEL PALACE HEIGHTS,hotel,28.6335783,77.2212231,0,True
Zaffran,restaurant,28.6337656,77.2213244,0,True
Barbeque Nation,restaurant,28.6303156,77.2206535,0,True
Nepali Food,restaurant,28.6411171,77.2144269,0,True
Punjab National Bank,bank,28.6316411,77.2215631,0,True
Malhotra,restaurant,28.6408661,77.2103053,0,True
Hotel Sunstar Grand,hotel,28.6462138,77.1841285,0,True
Pind Balluchi,restaurant,28.6303463,77.217545,0,True
Unknown,restaurant,28.5995342,77.2251048,1,True
Rajdhani,restaurant,28.6298048,77.2204846,0,True
Neelam Restaurant,restaurant,28.6420621,77.2179887,0,True
Unknown,bank,28.6451684,77.1945193,0,True
Reliance Fresh,supermarket,28.645693,77.2108527,0,True
S.D. Public,other,28.6473887,77.169391,0,True
Metropolis Guest House,hotel,28.6399645,77.2100934,0,True
Canara Bank,bank,28.6223326,77.2361501,0,True
Smokeys,restaurant,28.6005777,77.2273349,1,True
Fa Yian The Chinese Restaurant,restaurant,28.6328293,77.2172007,0,True
Kiran Hotel,hotel,28.6414626,77.2164508,0,True
L'Opera,bakery,28.5998152,77.2261697,1,True
Out Of The Box (OTB),cafe,28.5997702,77.2261911,1,True
State Bank of India,bank,28.6266262,77.2145324,0,True
Wow Cafe,restaurant,28.6412137,77.2147624,0,True
Hridey Inn,hotel,28.6407431,77.2123118,0,True
Livasa Inn,hotel,28.6459,77.1832113,0,True
Unknown,restaurant,28.6415909,77.2155347,0,True
Unknown,restaurant,28.6098311,77.2323979,1,True
Gulati,restaurant,28.6078499,77.2300673,1,True
U-Like,restaurant,28.6452167,77.2110064,0,True
NATRAJ restaurant,restaurant,28.6424044,77.2103819,0,True
Latitude,restaurant,28.6021414,77.2279557,1,True
Biryani Blues,restaurant,28.6298227,77.2205834,0,True
Jiwan Service Station,fuel,28.6045138,77.2245624,1,True
Bikaner Bus Depot,bus_station,28.6086972,77.2302094,1,True
cosmo,hotel,28.6458511,77.1832931,0,True
Wenger's,bakery,28.6333804,77.21807,0,True
The Big Chill,bakery,28.5999121,77.2265009,1,True
Kaliva sweets and restaurant,bakery,28.6279577,77.2472775,-1,False
The Oberoi Patisserie And Delicatessen,bakery,28.5967148,77.2398221,4,False
Bikanerwala Sweet,bakery,28.6482466,77.1928613,0,True
Bikanervala  Sweet,bakery,28.6481583,77.1929425,0,True
Shiv misthan Bander,bakery,28.6500162,77.2324574,2,False
Alkauser ( best biryani),restaurant,28.6018922,77.1936521,5,True
Aljawahir,restaurant,28.6495389,77.2335887,2,False
Alslam Chicken,restaurant,28.6482081,77.2336645,2,False
Bengali Sweet house & Pastry,bakery,28.6294288,77.2319022,0,True
Janta Sweets ( kashori samosa),bakery,28.6481235,77.2117033,0,True
"Japani Samosa, opposite Moti Cinema",bakery,28.6565844,77.2345987,2,False
Embassy Restaurant ( Samosa),restaurant,28.6336538,77.2211826,0,True
You and Me,hotel,28.6414075,77.2165842,0,True
Malabar Hotel,restaurant,28.6423302,77.2182562,0,True
Hotel Madras Dx,restaurant,28.642273,77.218265,0,True
Hyderabadi Dum Biriyaani,restaurant,28.6424057,77.2182489,0,True
South Indian Foods,restaurant,28.6424536,77.2182429,0,True
resto,convenience,28.6347993,77.2126048,0,True
Sapphire Inn Dx 379,hotel,28.6419316,77.2171017,0,True
Paharganj bus stand,bus_station,28.6447747,77.2043367,0,True
Everest Bakery Cafe,cafe,28.6417215,77.2147806,0,True
The Lalit New Delhi,hotel,28.6314643,77.2271911,0,True
Safari Restro Lounge,restaurant,28.6319603,77.2078492,0,True
Rishi Vaishno Dhaba,restaurant,28.6405446,77.217099,0,True
Sonu,restaurant,28.6409944,77.2127435,0,True
Kwality,restaurant,28.6299114,77.2172701,0,True
Adyar Ananda Bhavan,restaurant,28.6465886,77.1957658,0,True
Hotel SP,hotel,28.6521278,77.1943584,0,True
Everest kitchen,restaurant,28.6411046,77.2135151,0,True
Devna Bed & breakfast,hotel,28.6050274,77.2412834,4,False
Unknown,restaurant,28.6453864,77.1839126,0,True
Chaayos,cafe,28.6314625,77.2206262,0,True
Parth Palace,hotel,28.6409796,77.2151659,0,True
Shri Krishna Daba,restaurant,28.6478146,77.2399952,2,False
Kathmandu Food Cafe,restaurant,28.6418156,77.2126057,0,True
Brownie Cafe,cafe,28.645479,77.2163699,0,True
Lazeez Affaire,restaurant,28.6353146,77.2206088,0,True
Kovil,restaurant,28.6333695,77.2212936,0,True
Radjhani Thali,restaurant,28.630182,77.2204075,0,True
The Big Chill,restaurant,28.6006451,77.2275063,1,True
Hotel Singh Sons,hotel,28.6467365,77.1835662,0,True
Thalee,restaurant,28.6409867,77.2108048,0,True
Pizza Hut,restaurant,28.6275145,77.2198691,0,True
Mughlai Junction,restaurant,28.6307517,77.2205444,0,True
Kotak Mahindra Bank,bank,28.6296084,77.2241064,0,True
ICICI Bank,bank,28.6291812,77.2248562,0,True
Standard Chartered,bank,28.6296576,77.2239758,0,True
HSBC,bank,28.6298916,77.2237716,0,True
Punjab National Bank,bank,28.630268,77.2232644,0,True
Axis Bank,bank,28.6305309,77.222709,0,True
ICICI Mutual Funds,bank,28.6293464,77.2239496,0,True
saravan bhavan,restaurant,28.6249108,77.2194157,0,True
Pindi,restaurant,28.6078554,77.2296194,1,True
The Immigrant Cafe,restaurant,28.6341541,77.218784,0,True
Sawhney Medicos,pharmacy,28.6023889,77.1868863,5,True
Garg Store,convenience,28.6021797,77.1871301,5,True
Unknown,convenience,28.6026344,77.1866414,5,True
Hari Prakash Food Point,restaurant,28.6027056,77.1865603,5,True
Yes Bank,bank,28.6019799,77.189294,5,True
Anand Medical Stores,pharmacy,28.6023768,77.1869003,5,True
Naveen Fruit Juice,convenience,28.602274,77.1870201,5,True
Punjab National Bank,bank,28.6038119,77.1849985,5,True
Ingerpuri,restaurant,28.6579615,77.2233418,2,False
Kake di Hatti,restaurant,28.6580412,77.223216,2,False
Jagjit Restaurant,restaurant,28.657558,77.2231804,2,False
Hindustan Petroleum,fuel,28.6318815,77.2215358,0,True
Wok In The Clouds,restaurant,28.6005614,77.2273808,1,True
Indian Accent,restaurant,28.5917587,77.2379033,-1,False
Syndicate Bank,bank,28.6225443,77.2360014,0,True
OYO 7684 Hotel Repose Villa,hotel,28.6434615,77.2115005,0,True
Sir Ganga Ram Kolmet Hospital,other,28.643492,77.187296,0,True
Bhumi Spices Shop,supermarket,28.64038,77.213101,0,True
Satguru’s tea stall,cafe,28.6504719,77.2303091,2,False
Hotel Moon Palace dx,hotel,28.6417169,77.2132653,0,True
Punjab National Bank,bank,28.6312513,77.2218705,0,True
Union Bank of India,bank,28.6314468,77.2205311,0,True
Masala House,restaurant,28.6026965,77.2410926,4,False
Unknown,restaurant,28.6408832,77.213014,0,True
Sagar Ratna,restaurant,28.6353446,77.2203635,0,True
Bharat Petroleum,fuel,28.624526,77.2188215,0,True
The Janpath Hotel,hotel,28.6217589,77.2184932,0,True
Indian Oil,fuel,28.6264672,77.2199591,0,True
Hotel Vintage Inn,hotel,28.6418295,77.2144552,0,True
Bank of Baroda,bank,28.6289357,77.2174179,0,True
Tashi,hotel,28.6419034,77.2103116,0,True
Hotel India International Sitare - correct location!!,hotel,28.6439885,77.2102049,0,True
Hotel ramraj deluxe,hotel,28.6463198,77.2141943,0,True
HP,fuel,28.5913816,77.2120833,-1,False
Hotel Clark International,hotel,28.6492374,77.1882461,0,True
Unknown,cafe,28.638233,77.2120277,0,True
Organic Retail Store,convenience,28.615713,77.21373,0,True
Unknown,hotel,28.6403366,77.2094376,0,True
Unknown,other,28.6052898,77.2329222,1,True
Krishna Cafe,restaurant,28.6411123,77.2136081,0,True
Keventer's Milkshake,cafe,28.6334848,77.2181289,0,True
Unknown,fuel,28.6483622,77.213419,0,True
Punjab National Bank,bank,28.632967,77.2179001,0,True
Unknown,restaurant,28.6269167,77.2328582,0,True
ICICI Bank,bank,28.632608,77.2179719,0,True
